County,Date,Deaths
 Brazoria County ,2001,26
 Brazoria County ,2002,33
 Brazoria County ,2003,42
 Brazoria County ,2004,25
 Brazoria County ,2005,30
 Brazoria County ,2006,36
 Brazoria County ,2007,28
 Brazoria County ,2008,38
 Brazoria County ,2009,30
 Brazoria County ,2010,25
 Brazoria County ,2011,32
 Brazoria County ,2012,25
 Brazos County ,1999,29
 Brazos County ,2000,22
 Brazos County ,2001,18
 Brazos County ,2002,19
 Brazos County ,2003,21
 Brazos County ,2004,15
 Brazos County ,2005,15
 Brazos County ,2006,11
 Brazos County ,2007,20
 Brazos County ,2008,22
 Brazos County ,2009,19
 Brazos County ,2010,14
 Brazos County ,2011,9
 Brazos County ,2012,12
 Brewster County ,1999,2
 Brewster County ,2000,1
 Brewster County ,2001,6
 Brewster County ,2002,5
 Brewster County ,2003,2
 Brewster County ,2004,2
 Brewster County ,2005,0
 Brewster County ,2006,3
 Brewster County ,2007,3
 Brewster County ,2008,6
 Brewster County ,2009,2
 Brewster County ,2010,8
 Brewster County ,2011,2
 Brewster County ,2012,0
 Briscoe County ,1999,1
 Briscoe County ,2000,0
 Briscoe County ,2001,0
 Briscoe County ,2002,0
 Briscoe County ,2003,0
 Briscoe County ,2004,1
 Briscoe County ,2005,1
 Briscoe County ,2006,0
 Briscoe County ,2007,0
 Briscoe County ,2008,0
 Briscoe County ,2009,0
 Briscoe County ,2010,0
 Briscoe County ,2011,0
 Briscoe County ,2012,0
 Brooks County ,1999,2
 Brooks County ,2000,3
 Brooks County ,2001,1
 Brooks County ,2002,5
 Brooks County ,2003,2
 Brooks County ,2004,2
 Brooks County ,2005,1
 Brooks County ,2006,3
 Brooks County ,2007,2
 Brooks County ,2008,1
 Brooks County ,2009,0
 Brooks County ,2010,5
 Brooks County ,2011,4
 Brooks County ,2012,2
 Brown County ,1999,8
 Brown County ,2000,10
 Brown County ,2001,10
 Brown County ,2002,17
 Brown County ,2003,6
 Brown County ,2004,14
 Brown County ,2005,17
 Brown County ,2006,13
 Brown County ,2007,12
 Brown County ,2008,24
 Brown County ,2009,8
 Brown County ,2010,18
 Brown County ,2011,13
 Brown County ,2012,16
 Burleson County ,1999,6
 Burleson County ,2000,5
 Burleson County ,2001,3
 Burleson County ,2002,4
 Burleson County ,2003,3
 Burleson County ,2004,0
 Burleson County ,2005,1
 Burleson County ,2006,1
 Burleson County ,2007,5
 Burleson County ,2008,3
 Burleson County ,2009,3
 Burleson County ,2010,4
 Burleson County ,2011,8
 Burleson County ,2012,5
 Burnet County ,1999,13
 Burnet County ,2000,15
 Burnet County ,2001,11
 Burnet County ,2002,11
 Burnet County ,2003,10
 Burnet County ,2004,5
 Burnet County ,2005,12
 Burnet County ,2006,11
 Burnet County ,2007,8
 Burnet County ,2008,8
 Burnet County ,2009,7
 Burnet County ,2010,6
 Burnet County ,2011,10
 Burnet County ,2012,7
 Caldwell County ,1999,8
 Caldwell County ,2000,5
 Caldwell County ,2001,2
 Caldwell County ,2002,14
 Caldwell County ,2003,5
 Caldwell County ,2004,8
 Caldwell County ,2005,10
 Caldwell County ,2006,6
 Caldwell County ,2007,9
 Caldwell County ,2008,9
 Caldwell County ,2009,7
 Caldwell County ,2010,8
 Caldwell County ,2011,8
 Caldwell County ,2012,5
 Calhoun County ,1999,3
 Calhoun County ,2000,3
 Calhoun County ,2001,2
 Calhoun County ,2002,8
 Calhoun County ,2003,8
 Calhoun County ,2004,3
 Calhoun County ,2005,4
 Calhoun County ,2006,3
 Calhoun County ,2007,3
 Calhoun County ,2008,4
 Calhoun County ,2009,3
 Calhoun County ,2010,1
 Calhoun County ,2011,2
 Calhoun County ,2012,3
 Callahan County ,1999,2
 Callahan County ,2000,2
 Callahan County ,2001,3
 Callahan County ,2002,2
 Callahan County ,2003,1
 Callahan County ,2004,3
 Callahan County ,2005,4
 Callahan County ,2006,6
 Callahan County ,2007,4
 Callahan County ,2008,5
 Callahan County ,2009,4
 Callahan County ,2010,4
 Callahan County ,2011,3
 Callahan County ,2012,3
 Cameron County ,1999,55
 Cameron County ,2000,48
 Cameron County ,2001,56
 Cameron County ,2002,70
 Cameron County ,2003,66
 Cameron County ,2004,54
 Cameron County ,2005,48
 Cameron County ,2006,44
 Cameron County ,2007,47
 Cameron County ,2008,52
 Cameron County ,2009,74
 Cameron County ,2010,55
 Cameron County ,2011,54
 Cameron County ,2012,48
 Camp County ,1999,4
 Camp County ,2000,6
 Camp County ,2001,4
 Camp County ,2002,6
 Camp County ,2003,3
 Camp County ,2004,3
 Camp County ,2005,1
 Camp County ,2006,4
 Camp County ,2007,7
 Camp County ,2008,4
 Camp County ,2009,4
 Camp County ,2010,0
 Camp County ,2011,1
 Camp County ,2012,3
 Carson County ,1999,1
 Carson County ,2000,1
 Carson County ,2001,1
 Carson County ,2002,1
 Carson County ,2003,2
 Carson County ,2004,0
 Carson County ,2005,0
 Carson County ,2006,4
 Carson County ,2007,1
 Carson County ,2008,0
 Carson County ,2009,2
 Carson County ,2010,1
 Carson County ,2011,1
 Carson County ,2012,0
 Cass County ,1999,4
 Cass County ,2000,7
 Cass County ,2001,15
 Cass County ,2002,10
 Cass County ,2003,18
 Cass County ,2004,12
 Cass County ,2005,14
 Cass County ,2006,8
 Cass County ,2007,11
 Cass County ,2008,16
 Cass County ,2009,8
 Cass County ,2010,15
 Cass County ,2011,7
 Cass County ,2012,5
 Castro County ,1999,1
 Castro County ,2000,3
 Castro County ,2001,1
 Castro County ,2002,2
 Castro County ,2003,2
 Castro County ,2004,2
 Castro County ,2005,2
 Castro County ,2006,1
 Castro County ,2007,0
 Castro County ,2008,2
 Castro County ,2009,4
 Castro County ,2010,0
 Castro County ,2011,2
 Castro County ,2012,0
 Chambers County ,1999,3
 Chambers County ,2000,2
 Chambers County ,2001,3
 Chambers County ,2002,8
 Chambers County ,2003,5
 Chambers County ,2004,4
 Chambers County ,2005,6
 Chambers County ,2006,1
 Chambers County ,2007,5
 Chambers County ,2008,4
 Chambers County ,2009,1
 Chambers County ,2010,5
 Chambers County ,2011,6
 Chambers County ,2012,0
 Cherokee County ,1999,10
 Cherokee County ,2000,14
 Cherokee County ,2001,10
 Cherokee County ,2002,11
 Cherokee County ,2003,11
 Cherokee County ,2004,5
 Cherokee County ,2005,7
 Cherokee County ,2006,6
 Cherokee County ,2007,9
 Cherokee County ,2008,10
 Cherokee County ,2009,6
 Cherokee County ,2010,6
 Cherokee County ,2011,13
 Cherokee County ,2012,7
 Childress County ,1999,2
 Childress County ,2000,3
 Childress County ,2001,4
 Childress County ,2002,0
 Childress County ,2003,1
 Childress County ,2004,1
 Childress County ,2005,2
 Childress County ,2006,0
 Childress County ,2007,1
 Childress County ,2008,2
 Childress County ,2009,1
 Childress County ,2010,1
 Childress County ,2011,3
 Childress County ,2012,2
 Clay County ,1999,2
 Clay County ,2000,1
 Clay County ,2001,4
 Clay County ,2002,3
 Clay County ,2003,4
 Clay County ,2004,2
 Clay County ,2005,1
 Clay County ,2006,2
 Clay County ,2007,1
 Clay County ,2008,0
 Clay County ,2009,2
 Clay County ,2010,0
 Clay County ,2011,1
 Clay County ,2012,5
 Cochran County ,1999,0
 Cochran County ,2000,1
 Cochran County ,2001,1
 Cochran County ,2002,1
 Cochran County ,2003,1
 Cochran County ,2004,1
 Cochran County ,2005,1
 Cochran County ,2006,1
 Cochran County ,2007,1
 Cochran County ,2008,1
 Cochran County ,2009,0
 Cochran County ,2010,3
 Cochran County ,2011,0
 Cochran County ,2012,2
 Coke County ,1999,2
 Coke County ,2000,3
 Coke County ,2001,0
 Coke County ,2002,0
 Coke County ,2003,1
 Coke County ,2004,1
 Coke County ,2005,1
 Coke County ,2006,1
 Coke County ,2007,0
 Coke County ,2008,1
 Coke County ,2009,1
 Coke County ,2010,0
